midx,midy,midz,cut_real,cut_est,ugcut,f1
474705.916,7479362.333,1587.500, 0.353, 0.121,10,13
474470.112,7480312.200,1587.500, 1.040, 0.045,10,35
474462.260,7480312.060,1587.500, 1.640, 0.046,10,35
474469.028,7480292.223,1587.500, 0.370, 0.042,10,35
474473.645,7480301.838,1587.500, 0.070, 0.044,10,35
474481.559,7480307.243,1587.500, 0.240, 0.036,10,35
474486.213,7480289.989,1587.500, 0.080, 0.031,10,35
474491.374,7480295.170,1587.500, 0.270, 0.034,10,35
474469.336,7480346.091,1587.500, 0.080, 0.059,10,35
474469.595,7480334.794,1587.500, 0.060, 0.054,10,35
474465.964,7480341.513,1572.500, 0.590, 0.050,10,40
474472.906,7480347.237,1572.500, 0.465, 0.051,10,40
474479.522,7480329.370,1587.500, 0.230, 0.049,10,35
474451.286,7480360.849,1587.500, 0.690, 0.062,10,35
474461.499,7480362.033,1572.500, 0.070, 0.056,10,40
474465.537,7480376.078,1572.500, 0.085, 0.061,10,40
474468.192,7480369.331,1572.500, 0.063, 0.060,10,40
474496.691,7480682.286,1587.500, 0.320, 0.187,10,34
474481.404,7480692.793,1587.500, 0.840, 0.131,10,34
474630.717,7479271.431,1602.500, 1.080, 0.206,10,9
474658.862,7479263.316,1617.500, 0.050, 0.087,10,7
474656.229,7479243.491,1617.500, 0.040, 0.086,10,7
474650.766,7479300.126,1602.500, 0.290, 0.156,10,11
474658.744,7479282.220,1617.500, 0.060, 0.065,10,6
474644.494,7479308.831,1602.500, 0.230, 0.165,10,11
474631.734,7479293.655,1602.500, 0.230, 0.234,10,9
474680.384,7479299.303,1617.500, 0.285, 0.021,10,6
474692.766,7479295.393,1632.500, 0.012, 0.027,10,5
474676.851,7479281.071,1632.500, 0.040, 0.060,10,5
474693.371,7479276.869,1617.500, 0.080, 0.066,10,6
474720.554,7479274.111,1617.500, 0.150, 0.026,10,6
474718.777,7479295.496,1617.500, 0.066, 0.020,10,6
474738.504,7479301.359,1617.500, 0.032, 0.029,10,6
474721.141,7479306.299,1617.500, 0.045, 0.019,10,6
474626.239,7479326.518,1617.500, 0.180, 0.066,10,7
474648.181,7479352.091,1617.500, 0.154, 0.197,10,6
474664.070,7479339.389,1617.500, 0.104, 0.116,10,6
474660.761,7479338.445,1632.500, 0.105, 0.093,10,5
474638.717,7479339.142,1617.500, 0.108, 0.134,10,6
474660.948,7479319.288,1617.500, 0.102, 0.103,10,6
474647.032,7479337.038,1602.500, 0.370, 0.127,10,11
474662.115,7479347.835,1602.500, 0.510, 0.170,10,11
474683.471,7479349.928,1602.500, 0.190, 0.121,10,11
474700.531,7479344.137,1617.500, 0.026, 0.038,10,6
474697.409,7479324.036,1617.500, 0.012, 0.018,10,6
474686.344,7479350.670,1632.500, 0.038, 0.083,10,5
474689.744,7479341.223,1602.500, 0.200, 0.096,10,11
474694.149,7479350.974,1602.500, 0.420, 0.107,10,11
474690.625,7479313.818,1632.500, 0.012, 0.024,10,5
474672.793,7479348.882,1602.500, 0.680, 0.152,10,11
474679.066,7479340.177,1602.500, 0.270, 0.141,10,11
474682.355,7479336.904,1617.500, 0.039, 0.100,10,6
474685.338,7479331.472,1602.500, 0.110, 0.074,10,11
474675.683,7479349.465,1632.500, 0.028, 0.095,10,5
474674.660,7479330.426,1602.500, 0.270, 0.088,10,11
474714.859,7479321.384,1617.500, 0.115, 0.020,10,6
474744.141,7479338.783,1617.500, 0.027, 0.015,10,6
474716.208,7479326.043,1632.500, 0.024, 0.022,10,5
474739.343,7479323.733,1617.500, 0.017, 0.022,10,6
474717.981,7479341.485,1617.500, 0.065, 0.019,10,6
474754.514,7479321.823,1617.500, 0.030, 0.020,10,6
474752.452,7479339.473,1632.500, 0.020, 0.020,10,5
474618.095,7479380.293,1632.500, 0.140, 0.079,10,5
474616.288,7479377.528,1617.500, 0.594, 0.122,10,6
474598.838,7479380.179,1617.500, 0.788, 0.132,10,7
474622.672,7479361.126,1617.500, 0.043, 0.134,10,6
474591.807,7479361.381,1617.500, 0.260, 0.168,10,7
474660.694,7479375.925,1617.500, 0.114, 0.143,10,6
474671.401,7479386.317,1632.500, 0.138, 0.119,10,5
474667.141,7479376.501,1632.500, 0.198, 0.129,10,5
474650.079,7479383.907,1632.500, 0.051, 0.142,10,5
474657.687,7479355.790,1617.500, 0.137, 0.191,10,6
474658.620,7479356.871,1632.500, 0.119, 0.140,10,5
474643.244,7479378.576,1617.500, 0.111, 0.162,10,6
474641.558,7479364.277,1632.500, 0.158, 0.121,10,5
474666.521,7479357.586,1602.500, 0.230, 0.157,10,11
474679.704,7479383.324,1617.500, 0.150, 0.120,10,6
474688.463,7479378.911,1632.500, 0.106, 0.086,10,5
474677.199,7479358.633,1602.500, 0.640, 0.151,10,11
474676.698,7479363.190,1617.500, 0.140, 0.131,10,6
474673.542,7479367.891,1632.500, 0.160, 0.116,10,5
474689.827,7479377.662,1617.500, 0.160, 0.094,10,6
474685.422,7479356.709,1617.500, 0.102, 0.116,10,6
474687.070,7479373.858,1602.500, 0.340, 0.144,10,11
474703.653,7479364.238,1617.500, 0.116, 0.061,10,6
474692.724,7479388.726,1632.500, 0.082, 0.122,10,5
474684.397,7479366.519,1602.500, 0.140, 0.142,10,11
474687.877,7479359.679,1602.500, 0.250, 0.122,10,11
474706.635,7479375.951,1602.500, 0.200, 0.108,10,11
474705.866,7479388.061,1632.500, 0.049, 0.090,10,5
474711.926,7479362.895,1632.500, 0.024, 0.045,10,5
474721.103,7479361.586,1617.500, 0.054, 0.020,10,6
474741.750,7479359.795,1617.500, 0.014, 0.018,10,6
474731.700,7479382.112,1632.500, 0.022, 0.047,10,5
474716.021,7479364.040,1632.500, 0.086, 0.040,10,5
474716.222,7479375.733,1602.500, 0.400, 0.099,10,11
474575.440,7479422.140,1632.500, 0.119, 0.096,10,4
474569.040,7479430.750,1632.500, 0.065, 0.090,10,4
474579.700,7479431.960,1632.500, 0.108, 0.092,10,4
474622.532,7479417.730,1617.500, 0.184, 0.130,10,6
474619.410,7479397.629,1617.500, 0.384, 0.154,10,7
474613.814,7479417.144,1632.500, 0.258, 0.087,10,4
474605.082,7479420.381,1617.500, 0.439, 0.134,10,7
474592.498,7479414.734,1632.500, 0.227, 0.098,10,4
474601.960,7479400.280,1617.500, 0.601, 0.145,10,7
474600.262,7479420.647,1602.500, 0.351, 0.157,10,8
474636.860,7479394.978,1617.500, 0.360, 0.124,10,6
474658.993,7479422.478,1617.500, 0.093, 0.078,10,6
474637.277,7479401.128,1632.500, 0.034, 0.145,10,4
474649.000,7479425.000,1602.500, 0.204, 0.145,10,9
474655.871,7479402.377,1617.500, 0.449, 0.100,10,6
474645.798,7479420.759,1632.500, 0.095, 0.108,10,4
474639.982,7479415.079,1617.500, 0.078, 0.102,10,6
474658.599,7479403.538,1632.500, 0.071, 0.160,10,5
474691.902,7479413.637,1632.500, 0.093, 0.130,10,5
474700.730,7479407.617,1632.500, 0.037, 0.138,10,5
474695.187,7479422.613,1632.500, 0.105, 0.112,10,5
