,xcentre,ycentre,zcentre,cut_vulcan,cut_poz,f1
0,475013.339,7481534.458,1572.5,2.306,3.45,27.0
1,475007.115,7481524.089,1572.5,2.39,2.7,27.0
2,475013.939,7481562.451,1572.5,2.14,2.53,27.0
3,475007.415,7481538.085,1572.5,2.165,2.54,27.0
4,475073.325,7481533.171,1572.5,2.003,2.57,27.0
5,475073.925,7481561.165,1572.5,1.8330000000000002,2.08,27.0
6,475001.341,7481534.715,1572.5,2.099,1.77,27.0
7,475008.015,7481566.079,1572.5,1.929,1.16,27.0
8,475068.602,7481592.786,1572.5,1.923,1.01,27.0
9,475038.533,7481589.93,1572.5,1.517,0.85,27.0
10,474983.721,7481552.596,1572.5,0.38,0.82,27.0
11,475134.661,7481594.871,1572.5,1.5390000000000001,0.75,27.0
12,474989.344,7481534.972,1572.5,0.39399999999999996,0.76,27.0
13,475007.715,7481552.082,1572.5,0.89,0.54,27.0
14,475140.585,7481591.243,1572.5,1.484,0.41,27.0
15,474989.644,7481548.969,1572.5,0.371,0.57,27.0
16,475134.061,7481566.877,1572.5,0.57,0.46,27.0
17,475139.985,7481563.25,1572.5,0.5589999999999999,0.46,27.0
18,475001.641,7481548.711,1572.5,0.7659999999999999,0.39,27.0
19,474995.718,7481552.339,1572.5,0.341,0.5,27.0
20,475140.285,7481577.246,1572.5,0.616,0.47,27.0
21,475152.282,7481576.989,1572.5,0.539,0.45,27.0
22,475146.659,7481594.614,1572.5,1.53,0.43,27.0
23,474996.018,7481566.336,1572.5,0.40399999999999997,0.6,27.0
24,475121.914,7481560.136,1572.5,0.6579999999999999,0.413,27.0
25,475133.911,7481559.879,1572.5,0.391,0.555,28.0
26,475128.138,7481570.505,1572.5,0.609,0.609,27.0
27,475145.908,7481559.622,1572.5,0.46299999999999997,0.544,28.0
28,475140.135,7481570.248,1572.5,0.561,0.584,27.0
29,475157.906,7481559.365,1572.5,0.449,0.363,28.0
30,475008.315,7481580.076,1572.5,2.156,1.936,27.0
31,475085.922,7481560.908,1572.5,1.8980000000000001,0.46,28.0
32,475019.112,7481523.831,1572.5,2.475,1.839,27.0
33,475013.189,7481527.459,1572.5,2.377,2.288,27.0
34,474984.321,7481580.59,1572.5,1.3459999999999999,0.398,27.0
35,475007.265,7481531.087,1572.5,2.252,3.33,27.0
36,475002.242,7481576.705,1572.5,1.8730000000000002,1.144,27.0
37,475001.191,7481527.716,1572.5,2.164,2.921,27.0
38,474990.094,7481569.964,1572.5,0.424,0.348,27.0
39,474983.27,7481531.601,1572.5,0.384,0.653,27.0
40,474995.268,7481531.344,1572.5,0.365,2.42,27.0
41,474989.494,7481541.97,1572.5,0.38799999999999996,0.465,27.0
42,475013.489,7481541.456,1572.5,0.813,1.271,27.0
43,475013.789,7481555.453,1572.5,0.98,0.664,27.0
44,475014.089,7481569.449,1572.5,2.189,2.56,27.0
45,475007.865,7481559.08,1572.5,0.838,0.602,27.0
46,475007.565,7481545.084,1572.5,0.89,0.463,27.0
47,475001.791,7481555.71,1572.5,0.589,0.297,27.0
48,475002.092,7481569.707,1572.5,1.8630000000000002,0.536,27.0
49,475031.409,7481537.571,1572.5,2.34,1.353,27.0
50,475020.162,7481572.82,1572.5,1.9169999999999998,1.262,27.0
51,475079.098,7481522.545,1572.5,1.8259999999999998,1.034,27.0
52,475073.775,7481554.167,1572.5,1.775,0.685,28.0
53,475073.625,7481547.168,1572.5,2.0869999999999997,0.494,28.0
54,475073.475,7481540.17,1572.5,1.992,0.457,27.0
55,475067.101,7481522.802,1572.5,2.002,3.403,27.0
56,475067.401,7481536.799,1572.5,2.065,0.946,27.0
57,475019.412,7481537.828,1572.5,2.329,2.463,27.0
58,475031.56,7481544.569,1572.5,2.242,1.925,27.0
59,475031.71,7481551.568,1572.5,2.22,1.095,27.0
60,475019.862,7481558.823,1572.5,1.003,2.713,26.0
61,475025.336,7481534.2,1572.5,2.404,2.794,27.0
62,475031.109,7481523.574,1572.5,2.494,2.002,27.0
63,475014.239,7481576.448,1572.5,2.059,0.486,27.0
64,475014.539,7481590.445,1572.5,1.845,0.735,27.0
65,474990.394,7481583.961,1572.5,1.5119999999999998,0.499,27.0
66,474996.468,7481587.331,1572.5,1.713,0.454,27.0
67,475008.465,7481587.074,1572.5,1.9480000000000002,0.393,27.0
68,475074.075,7481568.163,1572.5,1.8359999999999999,3.92,27.0
69,475061.328,7481533.429,1572.5,2.09,0.46,27.0
70,475067.251,7481529.801,1572.5,2.009,2.19,27.0
